Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,270.940002,271.549988,268.290009,270.140015,265.119751,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,265.443604,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,265.590790,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,269.006165,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,269.879578,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,269.280975,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,272.215393,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,272.686432,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,273.236023,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,272.264465,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,273.952515,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,274.325409,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,274.129150,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,274.011383,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,273.501007,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,275.208740,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,274.207642,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,273.834717,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,272.176117,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,269.899231,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,269.359436,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,273.265503,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,274.295990,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,276.111603,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,275.934967,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,277.298218,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,278.303650,62199800
2019-03-19,283.510010,284.359985,281.410004,282.399994,278.372681,90268100
2019-03-20,282.160004,283.500000,280.320007,281.549988,277.534790,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,280.669464,79550400
2019-03-22,283.220001,283.799988,279.179993,279.250000,275.267578,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,275.060577,85575200
2019-03-26,280.989990,282.179993,279.559998,281.119995,277.110931,68125900
2019-03-27,281.109985,281.760010,277.929993,279.649994,275.661896,72224700
2019-03-28,280.350006,281.209991,279.070007,280.709991,276.706787,56238500
2019-03-29,282.390015,282.839996,281.140015,282.480011,278.451538,82186800
2019-04-01,284.700012,286.160004,284.399994,285.829987,281.753723,77617900
2019-04-02,286.040009,286.230011,285.089996,285.970001,281.891754,40070400
2019-04-03,287.320007,287.760010,285.750000,286.420013,282.335327,68243200
2019-04-04,286.779999,287.459991,286.010010,287.179993,283.084503,48997500
2019-04-05,287.920013,288.630005,287.600006,288.570007,284.454712,58621700
2019-04-08,288.100006,288.910004,287.369995,288.790009,284.671539,53566300
2019-04-09,287.720001,288.079987,286.700012,287.309998,283.212646,66142300
