,date,open,high,low,close,volume
0,1997-05-16,1.865,1.9792,1.7083,1.7292,14700000
1,1997-05-19,1.7083,1.7708,1.625,1.7083,6106800
2,1997-05-20,1.7292,1.75,1.6358,1.6358,5467200
3,1997-05-21,1.6042,1.6458,1.375,1.4275,18853200
4,1997-05-22,1.4375,1.4483,1.3125,1.3958,11776800
5,1997-05-23,1.4067,1.5208,1.3333,1.5,15937200
6,1997-05-27,1.4792,1.6458,1.4583,1.5833,8697600
7,1997-05-28,1.6092,1.6358,1.5317,1.5317,4574400
8,1997-05-29,1.5417,1.5417,1.4792,1.505,3472800
9,1997-05-30,1.5,1.5108,1.4792,1.5,2594400
10,1997-06-02,1.5108,1.5317,1.5,1.5108,591600
11,1997-06-03,1.5317,1.5317,1.4792,1.4792,1183200
12,1997-06-04,1.4792,1.49,1.3958,1.4167,3080400
13,1997-06-05,1.4167,1.5417,1.375,1.5417,5672400
14,1997-06-06,1.5108,1.7083,1.5108,1.6567,7807200
15,1997-06-09,1.6875,1.7083,1.6567,1.6875,2352000
16,1997-06-10,1.7083,1.7083,1.5317,1.5833,5458800
17,1997-06-11,1.5942,1.6042,1.5317,1.5417,1188000
18,1997-06-12,1.5833,1.6458,1.5525,1.6042,1632000
19,1997-06-13,1.625,1.625,1.5833,1.5833,693600
20,1997-06-16,1.5833,1.6042,1.5625,1.5733,913200
21,1997-06-17,1.5783,1.5992,1.495,1.505,4706400
22,1997-06-18,1.5208,1.5367,1.5,1.5108,2464800
23,1997-06-19,1.5108,1.5317,1.5,1.5108,1003200
24,1997-06-20,1.5317,1.5525,1.5,1.5258,3387600
25,1997-06-23,1.5208,1.5417,1.4792,1.5,1047600
26,1997-06-24,1.505,1.5258,1.4792,1.5108,751200
27,1997-06-25,1.5108,1.5258,1.49,1.5108,2106000
28,1997-06-26,1.5208,1.5208,1.505,1.5108,3189600
29,1997-06-27,1.5158,1.5158,1.4792,1.49,1188000
30,1997-06-30,1.5108,1.5992,1.4792,1.5417,2746800
31,1997-07-01,1.5417,1.5417,1.5108,1.5158,1292400
32,1997-07-02,1.5367,1.5942,1.5108,1.5883,3882000
33,1997-07-03,1.6358,1.9167,1.5942,1.9117,12577200
34,1997-07-07,1.8333,2.0208,1.8333,2.0,8053200
35,1997-07-08,2.0417,2.3333,2.0417,2.3025,15517200
36,1997-07-09,2.3025,2.3858,2.2708,2.3233,8262000
37,1997-07-10,2.365,2.3858,2.3333,2.375,9051600
38,1997-07-11,2.365,2.5208,2.2083,2.3333,10531200
39,1997-07-14,2.3125,2.3333,2.1775,2.2083,4604400
40,1997-07-15,2.1875,2.3958,2.1358,2.3858,9274800
41,1997-07-16,2.4483,2.495,2.3025,2.3333,3024000
42,1997-07-17,2.2608,2.3442,2.2192,2.24,3169200
43,1997-07-18,2.1875,2.2192,2.1567,2.1567,780000
44,1997-07-21,2.1775,2.1983,2.1458,2.1775,574800
45,1997-07-22,2.1667,2.1875,2.0625,2.1358,1563600
46,1997-07-23,2.1875,2.2708,2.1775,2.2658,3259200
47,1997-07-24,2.3025,2.3125,2.2192,2.2608,1216800
48,1997-07-25,2.2292,2.25,2.2192,2.2292,620400
49,1997-07-28,2.2292,2.3025,2.2192,2.2917,2574000
50,1997-07-29,2.365,2.4067,2.3333,2.3858,4814400
51,1997-07-30,2.365,2.5,2.3333,2.4792,2517600
52,1997-07-31,2.4375,2.4375,2.3333,2.3958,1454400
53,1997-08-01,2.3442,2.4167,2.25,2.4167,3588000
54,1997-08-04,2.375,2.4117,2.3025,2.3125,2671200
55,1997-08-05,2.3125,2.3333,2.1458,2.2083,3032400
56,1997-08-06,2.2083,2.3125,2.1875,2.25,1243200
57,1997-08-07,2.25,2.2608,2.125,2.1775,2034000
58,1997-08-08,2.1667,2.3025,2.1042,2.2917,2211600
59,1997-08-11,2.2917,2.3333,2.25,2.3283,1239600
60,1997-08-12,2.2817,2.3025,2.1983,2.1983,571200
61,1997-08-13,2.2292,2.2292,2.1667,2.1983,590400
62,1997-08-14,2.1775,2.25,2.12,2.1567,1041600
63,1997-08-15,1.9583,2.1567,1.9375,2.115,1597200
64,1997-08-18,2.0317,2.0525,1.9692,2.0417,1784400
65,1997-08-19,2.0942,2.2083,2.0525,2.1667,1003200
66,1997-08-20,2.0833,2.1875,2.0733,2.1667,999600
67,1997-08-21,2.1358,2.1717,2.0733,2.115,624000
68,1997-08-22,2.1042,2.125,2.0942,2.125,712800
69,1997-08-25,2.1042,2.2608,2.1042,2.2192,1126800
70,1997-08-26,2.24,2.3542,2.2292,2.3442,2574000
71,1997-08-27,2.3075,2.3233,2.25,2.3175,1392000
72,1997-08-28,2.3025,2.3958,2.2817,2.375,1147200
73,1997-08-29,2.365,2.375,2.3233,2.3383,722400
